WEPP,count,GPPD,note
WAT,47884,Hydro,
OIL,31529,Oil,
GAS,27764,Gas,
WIND,16214,Wind,
SUN,11187,Solar,
COAL,8741,Coal,
LGAS,3412,Waste,
WSTH,2939,Waste,
BGAS,1777,Biomass,
BAG,1235,Biomass,
WOOD,1140,Biomass,
UNK,1105,Other,
DGAS,939,Other,
REF,918,Waste,
BIOMASS,645,Biomass,
LNG,613,Gas,
GEO,552,Geothermal,
UR,408,Nuclear,
MGAS,365,Gas,
BFG,282,Gas,
KERO,274,Oil,
FGAS,273,Gas,
LPG,261,Gas,
LIQ,223,Biomass,
BL,166,Biomass,
RGAS,140,Gas,?
WSTGAS,92,Waste,
WOODGAS,83,Biomass,
NAP,81,Gas,
COG,74,Petcoke,
CSGAS,73,Gas,
COKE,53,Petcoke,
PEAT,43,Biomass,
REFGAS,43,Waste,
H2,28,Other,
JET,28,Oil,
SHALE,25,Oil,
CGAS,20,Coal,
PWST,15,Waste,
WSTWSL,14,Waste,
OGAS,13,Oil,
AGAS,12,Waste,?
TGAS,6,Gas,
CKGAS,4,Petcoke,
INDWST,4,Waste,
MBM,4,Biomass,
TIRES,4,Waste,
CWM,3,Coal,
ETHANOL,3,Biomass,
BITUMEN,2,Coal,
CXGAS,2,Coal,
Oil,2,Oil,
RPF,2,Waste,
HZDWST,1,Waste,
LIGNIN,1,Biomass,
MANURE,1,Waste,
MEDWST,1,Waste,
METHANOL,1,Biomass,
